MONTH,DAY,YEAR,temp,TIME
11,1,2023,27.8,1
11,2,2023,28.7,2
11,3,2023,29.6,3
11,4,2023,28.8,4
11,5,2023,27.9,5
11,6,2023,28.3,6
11,7,2023,27.6,7
11,8,2023,28,8
11,9,2023,27.9,9
11,10,2023,28.1,10
11,11,2023,29.4,11
11,12,2023,27.9,12
11,13,2023,28.7,13
11,14,2023,27.2,14
11,15,2023,27.6,15
11,16,2023,27.4,16
11,17,2023,27.1,17
11,18,2023,28.2,18
11,19,2023,27.4,19
11,20,2023,27.7,20
11,21,2023,26.7,21
11,22,2023,27.6,22
11,23,2023,27.6,23
11,24,2023,27.2,24
11,25,2023,26.7,25
11,26,2023,26.4,26
11,27,2023,27,27
11,28,2023,27.2,28
11,29,2023,27.2,29
11,30,2023,26.6,30
12,1,2023,26.5,31
12,2,2023,27.4,32
12,3,2023,26,33
12,4,2023,27.3,34
12,5,2023,27.7,35
12,6,2023,26.2,36
12,7,2023,27,37
12,8,2023,28.2,38
12,9,2023,27.6,39
12,10,2023,27.9,40
12,11,2023,27.5,41
12,12,2023,26.1,42
12,13,2023,27.1,43
12,14,2023,26.9,44
12,15,2023,27.5,45
12,16,2023,26.9,46
12,17,2023,27.5,47
12,18,2023,27.9,48
12,19,2023,27,49
12,20,2023,27.4,50
12,21,2023,26.8,51
12,22,2023,27.2,52
12,23,2023,26.4,53
12,24,2023,27.8,54
12,25,2023,25.7,55
12,26,2023,26.3,56
12,27,2023,25.9,57
12,28,2023,26.5,58
12,29,2023,27,59
12,30,2023,27.9,60
12,31,2023,26,61
1,1,2024,25.5,62
1,2,2024,27.2,63
1,3,2024,27.2,64
1,4,2024,24.8,65
1,5,2024,26.1,66
1,6,2024,27.5,67
1,7,2024,24.3,68
1,8,2024,26.3,69
1,9,2024,26.4,70
1,10,2024,26,71
1,11,2024,27.1,72
1,12,2024,25,73
1,13,2024,27,74
1,14,2024,27.5,75
1,15,2024,27.4,76
1,16,2024,26.6,77
1,17,2024,26.9,78
1,18,2024,26.8,79
1,19,2024,26.4,80
1,20,2024,24.5,81
1,21,2024,27,82
1,22,2024,27.8,83
1,23,2024,26.7,84
1,24,2024,26.4,85
1,25,2024,25.3,86
1,26,2024,27.5,87
1,27,2024,28,88
1,28,2024,27.6,89
1,29,2024,27.7,90
1,30,2024,27.4,91
1,31,2024,27.5,92
2,1,2024,27.9,93
2,2,2024,27.8,94
2,3,2024,28.3,95
2,4,2024,28.5,96
2,5,2024,28.3,97
2,6,2024,27.9,98
2,7,2024,28.1,99
2,8,2024,27.9,100
2,9,2024,27.2,101
2,10,2024,27.5,102
2,11,2024,27.7,103
2,12,2024,26.7,104
2,13,2024,26.5,105
2,14,2024,27.4,106
2,15,2024,26.7,107
2,16,2024,27.7,108
2,17,2024,27.5,109
2,18,2024,28.1,110
2,19,2024,28.6,111
2,20,2024,28.6,112
2,21,2024,27.9,113
2,22,2024,28.2,114
2,23,2024,28.2,115
2,24,2024,28.2,116
2,25,2024,28.7,117
2,26,2024,28.6,118
2,27,2024,27.9,119
2,28,2024,28.4,120
2,29,2024,28.9,121
3,1,2024,28.4,122
3,2,2024,27.7,123
3,3,2024,26.5,124
3,4,2024,27.7,125
3,5,2024,26.3,126
3,6,2024,27.3,127
3,7,2024,27.7,128
3,8,2024,27.1,129
3,9,2024,28.5,130
3,10,2024,27.9,131
3,11,2024,28.6,132
3,12,2024,29,133
3,13,2024,28.9,134
3,14,2024,28.7,135
3,15,2024,28.3,136
3,16,2024,28.7,137
3,17,2024,29.3,138
3,18,2024,29.5,139
3,19,2024,29,140
3,20,2024,28.8,141
3,21,2024,28.4,142
3,22,2024,28.9,143
3,23,2024,29.6,144
3,24,2024,29.5,145
3,25,2024,29.7,146
3,26,2024,29.8,147
3,27,2024,29.7,148
3,28,2024,29.9,149
3,29,2024,30.3,150
3,30,2024,30.1,151
3,31,2024,29.3,152
4,1,2024,28.9,153
4,2,2024,30.5,154
4,3,2024,29.6,155
4,4,2024,28.5,156
4,5,2024,29.6,157
4,6,2024,30,158
4,7,2024,29.4,159
4,8,2024,29.1,160
4,9,2024,30.3,161
4,10,2024,28.9,162
4,11,2024,28.2,163
4,12,2024,25.8,164
4,13,2024,29.1,165
4,14,2024,28.5,166
4,15,2024,29,167
4,16,2024,27.6,168
4,17,2024,28.3,169
4,18,2024,29.3,170
4,19,2024,28.9,171
4,20,2024,28.1,172
4,21,2024,28.8,173
4,22,2024,29.4,174
4,23,2024,29.7,175
4,24,2024,30.3,176
4,25,2024,30.2,177
4,26,2024,30.4,178
4,27,2024,30.5,179
4,28,2024,29.8,180
4,29,2024,30.7,181
4,30,2024,30.9,182
5,1,2024,30,183
5,2,2024,28.6,184
5,3,2024,28.3,185
5,4,2024,26,186
5,5,2024,29.7,187
5,6,2024,30.5,188
5,7,2024,28.6,189
5,8,2024,28.3,190
5,9,2024,30.2,191
5,10,2024,30,192
5,11,2024,29.9,193
5,12,2024,29.1,194
5,13,2024,28.9,195
5,14,2024,28.6,196
5,15,2024,28.4,197
5,16,2024,27.4,198
5,17,2024,29.1,199
5,18,2024,29.6,200
5,19,2024,29.6,201
5,20,2024,28.3,202
5,21,2024,29.4,203
5,22,2024,28.1,204
5,23,2024,28.5,205
5,24,2024,28.2,206
5,25,2024,28,207
5,26,2024,29.6,208
5,27,2024,30.6,209
5,28,2024,30,210
5,29,2024,30.6,211
5,30,2024,30,212
5,31,2024,30,213
6,1,2024,27.5,214
6,2,2024,27.5,215
6,3,2024,28.6,216
6,4,2024,29.2,217
6,5,2024,30.4,218
6,6,2024,28.9,219
6,7,2024,28.5,220
6,8,2024,29,221
6,9,2024,29.5,222
6,10,2024,28.7,223
6,11,2024,29.2,224
6,12,2024,28.9,225
6,13,2024,29.7,226
